City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
59,Vaini,TO,2022-05-22 21:19:02,-21.2,-175.2,80.76,83,40,8.05,scattered clouds
60,Port Hardy,CA,2022-05-22 21:19:03,50.6996,-127.4199,55.58,71,100,5.75,overcast clouds
61,Nome,US,2022-05-22 21:05:19,64.5011,-165.4064,66.27,21,0,14.97,clear sky
62,Qaanaaq,GL,2022-05-22 21:19:03,77.484,-69.3632,25.66,75,100,5.46,overcast clouds
63,Mount Gambier,AU,2022-05-22 21:19:03,-37.8333,140.7667,33.71,100,40,0.0,mist
64,San Patricio,US,2022-05-22 21:09:14,28.017,-97.5169,86.85,57,100,11.68,overcast clouds
65,Puerto Ayora,EC,2022-05-22 21:19:04,-0.7393,-90.3518,76.96,78,58,10.69,broken clouds
66,Amuntai,ID,2022-05-22 21:11:45,-2.4177,115.2494,74.23,98,92,1.36,moderate rain
67,El Reno,US,2022-05-22 21:11:45,35.5323,-97.955,71.33,29,0,12.66,clear sky
68,Pitimbu,BR,2022-05-22 21:11:46,-7.4706,-34.8086,79.39,76,10,17.63,clear sky
69,Byron Bay,AU,2022-05-22 21:11:46,-28.65,153.6167,58.71,85,69,11.61,light rain
70,Jamestown,US,2022-05-22 21:19:04,42.097,-79.2353,56.52,94,100,10.36,mist
71,Severo-Kurilsk,RU,2022-05-22 21:19:05,50.6789,156.125,40.78,97,100,16.53,light rain
72,Touros,BR,2022-05-22 21:09:12,-5.1989,-35.4608,76.17,90,18,12.73,few clouds
73,Torbay,CA,2022-05-22 21:05:32,47.6666,-52.7314,59.76,48,66,10.96,broken clouds
74,Labuhan,ID,2022-05-22 21:11:46,-6.8844,112.2051,78.93,85,95,10.51,overcast clouds
75,Upington,ZA,2022-05-22 21:11:47,-28.4478,21.2561,59.41,52,69,4.79,broken clouds
76,Albany,US,2022-05-22 21:19:06,42.6001,-73.9662,86.41,89,95,15.46,overcast clouds
77,Arman,RU,2022-05-22 21:11:47,59.7,150.1667,43.02,98,100,11.39,moderate rain
78,Jinxiang,CN,2022-05-22 21:11:48,27.4327,120.6062,64.72,98,100,6.73,overcast clouds
79,Kieta,PG,2022-05-22 21:11:48,-6.2167,155.6333,80.06,78,54,1.99,broken clouds
80,Dikson,RU,2022-05-22 21:19:06,73.5069,80.5464,20.95,90,59,7.56,broken clouds
81,Ulaangom,MN,2022-05-22 21:11:48,49.9811,92.0667,65.01,26,100,4.52,overcast clouds
82,San Cristobal,VE,2022-05-22 21:17:21,7.7669,-72.225,81.82,45,1,5.95,clear sky
83,Constitucion,CL,2022-05-22 21:19:07,-35.3333,-72.4167,52.57,92,100,12.46,light rain
84,Mananara,MG,2022-05-22 21:11:49,-16.1667,49.7667,71.01,92,67,3.91,light rain
85,Kapaa,US,2022-05-22 21:16:12,22.0752,-159.319,80.58,77,20,13.8,few clouds
86,Airai,TL,2022-05-22 21:19:07,-8.9266,125.4092,58.91,90,51,3.85,broken clouds
87,Kautokeino,NO,2022-05-22 21:19:08,69.0125,23.0412,35.11,95,100,1.23,overcast clouds
88,Antequera,ES,2022-05-22 21:11:49,37.0194,-4.5612,72.95,62,0,3.85,clear sky
89,Mahebourg,MU,2022-05-22 21:19:08,-20.4081,57.7,73.69,78,20,8.05,few clouds
90,Tuktoyaktuk,CA,2022-05-22 21:19:08,69.4541,-133.0374,24.8,74,100,8.05,overcast clouds
91,Kharhial,IN,2022-05-22 21:11:50,20.2833,82.7667,90.5,26,100,3.91,overcast clouds
92,Arrah,IN,2022-05-22 21:11:50,25.5667,84.6667,76.89,58,4,7.81,clear sky
93,Saint-Philippe,RE,2022-05-22 21:19:09,-21.3585,55.7679,67.59,74,39,11.12,scattered clouds
94,Rio Cuarto,AR,2022-05-22 21:11:51,-33.1307,-64.3499,69.57,40,0,16.11,clear sky
95,Nagato,JP,2022-05-22 21:19:10,34.3833,131.2,66.2,90,25,2.17,scattered clouds
96,Kaitangata,NZ,2022-05-22 21:19:10,-46.2817,169.8464,47.59,80,94,14.58,overcast clouds
97,Blackwater,AU,2022-05-22 21:11:51,-23.5833,148.8833,60.01,91,100,6.93,overcast clouds
98,Ndele,CF,2022-05-22 21:11:52,8.4109,20.6473,80.35,53,100,2.55,overcast clouds
99,Cerreto Guidi,IT,2022-05-22 21:11:52,43.7607,10.8761,67.1,69,85,2.35,overcast clouds
100,Cayenne,GF,2022-05-22 21:16:53,4.9333,-52.3333,82.09,1,0,4.0,clear sky
101,Diamantino,BR,2022-05-22 21:11:52,-14.4086,-56.4461,77.79,46,61,3.89,broken clouds
102,Hami,CN,2022-05-22 21:19:11,42.8,93.45,78.46,19,98,10.33,overcast clouds
103,Shache,CN,2022-05-22 21:11:53,38.4167,77.2406,69.57,33,100,14.79,overcast clouds
104,Ganzhou,CN,2022-05-22 21:11:53,28.8184,115.4327,65.35,95,100,1.25,light rain
105,Praya,CV,2022-05-22 21:10:35,14.9215,-23.5087,72.14,68,40,16.11,scattered clouds
106,Ust-Maya,RU,2022-05-22 21:11:53,60.4167,134.5333,39.61,76,13,4.99,few clouds
107,Fortuna,US,2022-05-22 21:19:12,40.5982,-124.1573,61.93,79,20,17.27,few clouds
108,Birao,CF,2022-05-22 21:19:12,10.2849,22.7882,89.69,24,100,5.86,overcast clouds
109,Sooke,CA,2022-05-22 21:11:21,48.3746,-123.7276,68.02,57,100,6.53,overcast clouds
110,Malanje,AO,2022-05-22 21:11:54,-9.5402,16.341,64.99,67,94,4.54,overcast clouds
111,Jalu,LY,2022-05-22 21:11:54,29.0331,21.5482,73.78,26,0,9.28,clear sky
112,San Quintin,MX,2022-05-22 21:10:07,30.4833,-115.95,65.79,56,0,11.14,clear sky
113,Banapur,IN,2022-05-22 21:11:55,19.7833,85.1833,83.88,82,96,4.56,overcast clouds
114,Brae,GB,2022-05-22 21:11:55,60.3964,-1.353,50.65,98,100,8.81,light rain
115,Sitka,US,2022-05-22 21:19:13,57.0531,-135.33,49.89,76,100,13.8,overcast clouds
116,Lompoc,US,2022-05-22 21:19:14,34.6391,-120.4579,80.69,67,0,20.0,clear sky
117,Comodoro Rivadavia,AR,2022-05-22 21:19:14,-45.8667,-67.5,46.26,49,0,4.61,clear sky
118,Ottawa,CA,2022-05-22 21:11:39,45.4112,-75.6981,57.04,92,100,11.5,overcast clouds
119,Daru,PG,2022-05-22 21:19:14,-9.0763,143.2092,80.37,81,51,12.59,broken clouds
120,Nikolskoye,RU,2022-05-22 21:05:18,59.7035,30.7861,43.88,59,10,2.62,clear sky
121,Saldanha,ZA,2022-05-22 21:19:15,-33.0117,17.9442,53.65,88,93,4.21,overcast clouds
122,Andijon,UZ,2022-05-22 21:11:56,40.7821,72.3442,54.68,65,100,8.97,overcast clouds
123,Arraial Do Cabo,BR,2022-05-22 21:19:15,-22.9661,-42.0278,71.46,68,0,16.11,clear sky
124,Yeniseysk,RU,2022-05-22 21:11:57,58.4497,92.1703,46.35,80,4,3.98,clear sky
125,Vardo,NO,2022-05-22 21:19:16,70.3705,31.1107,37.38,93,100,16.11,light intensity drizzle
126,Zeulenroda,DE,2022-05-22 21:11:57,50.65,11.9833,55.47,66,87,3.11,overcast clouds
127,Tailai,CN,2022-05-22 21:11:58,46.3833,123.4,62.56,46,81,7.29,broken clouds
128,Saint-Pierre,RE,2022-05-22 21:09:33,-21.3393,55.4781,71.28,68,0,6.91,clear sky
129,Chapleau,CA,2022-05-22 21:11:58,47.8405,-83.4034,48.36,47,98,9.69,overcast clouds
130,Butaritari,KI,2022-05-22 21:19:16,3.0707,172.7902,81.91,78,60,12.21,broken clouds
131,Alibag,IN,2022-05-22 21:11:58,18.6411,72.8792,86.07,71,100,11.86,overcast clouds
132,Vallenar,CL,2022-05-22 21:11:59,-28.5708,-70.7581,75.97,27,3,4.29,clear sky
133,Lufilufi,WS,2022-05-22 21:19:17,-13.8745,-171.5986,85.78,74,66,18.99,light rain
134,Alta Floresta,BR,2022-05-22 21:11:59,-9.8756,-56.0861,75.76,68,5,2.06,clear sky
135,Flin Flon,CA,2022-05-22 21:12:00,54.7682,-101.865,63.23,20,100,11.86,overcast clouds
136,Trelew,AR,2022-05-22 21:12:00,-43.249,-65.3051,50.99,36,100,14.88,overcast clouds
137,Portland,US,2022-05-22 21:11:00,45.5234,-122.6762,75.06,36,75,5.75,broken clouds
138,Bethel,US,2022-05-22 21:19:17,41.3712,-73.414,92.17,53,0,9.22,clear sky
139,Norman Wells,CA,2022-05-22 21:12:00,65.282,-126.8329,48.02,49,100,2.57,overcast clouds
140,Riberalta,BO,2022-05-22 21:19:18,-10.9833,-66.1,88.0,55,40,0.0,scattered clouds
141,Tasiilaq,GL,2022-05-22 21:19:18,65.6145,-37.6368,35.76,99,100,8.19,light rain
142,Dotnuva,LT,2022-05-22 21:12:01,55.35,23.9,52.02,73,100,6.33,overcast clouds
143,Am Timan,TD,2022-05-22 21:12:01,11.0297,20.2827,91.81,28,72,4.32,broken clouds
144,Xining,CN,2022-05-22 21:19:19,36.6167,101.7667,51.51,74,66,1.52,broken clouds
145,Zemio,CF,2022-05-22 21:12:02,5.0314,25.1361,71.83,79,99,1.63,overcast clouds
146,Eureka,US,2022-05-22 21:12:02,40.8021,-124.1637,73.67,73,64,10.0,broken clouds
147,Sangar,RU,2022-05-22 21:10:21,63.9242,127.4739,41.4,88,37,1.1,scattered clouds
148,Oksovskiy,RU,2022-05-22 21:12:02,62.6062,39.8984,32.61,73,100,8.86,overcast clouds
149,Kawhia,NZ,2022-05-22 21:12:03,-38.0651,174.8183,56.41,77,30,11.48,scattered clouds
150,Shimanovsk,RU,2022-05-22 21:09:36,52.0,127.7,51.26,92,70,8.14,broken clouds
151,Koutiala,ML,2022-05-22 21:12:03,12.3917,-5.4642,85.84,47,92,10.65,light rain
152,Ziyang,CN,2022-05-22 21:12:04,29.2497,117.8547,65.61,99,100,1.28,moderate rain
153,Alofi,NU,2022-05-22 21:19:20,-19.0595,-169.9187,82.29,78,8,6.91,clear sky
154,Ayutla,MX,2022-05-22 21:12:04,20.1167,-104.3333,93.31,14,0,9.82,clear sky
155,Karatuzskoye,RU,2022-05-22 21:12:05,53.6072,92.8667,63.12,53,100,1.54,overcast clouds
156,Menongue,AO,2022-05-22 21:12:05,-14.6585,17.691,53.47,54,0,3.53,clear sky
157,East London,ZA,2022-05-22 21:15:51,-33.0153,27.9116,59.99,86,3,6.78,clear sky
158,Necochea,AR,2022-05-22 21:19:21,-38.5473,-58.7368,54.88,56,100,10.31,overcast clouds
159,Thayetmyo,MM,2022-05-22 21:12:06,19.3167,95.1833,82.13,75,32,5.86,scattered clouds
160,Kiunga,PG,2022-05-22 21:12:06,-6.1219,141.2906,72.86,100,81,1.05,broken clouds
161,Margate,GB,2022-05-22 21:12:06,51.3813,1.3862,61.3,79,100,1.99,overcast clouds
162,Yomou,GN,2022-05-22 21:12:07,7.5603,-9.2653,70.65,98,99,2.75,moderate rain
163,Road Town,VG,2022-05-22 21:14:24,18.4167,-64.6167,84.29,70,20,6.91,few clouds
164,Khatanga,RU,2022-05-22 21:19:22,71.9667,102.5,31.86,92,100,5.93,overcast clouds
165,Asadabad,IR,2022-05-22 21:12:08,34.7824,48.1185,62.2,30,0,2.91,clear sky
166,Stromness,GB,2022-05-22 21:12:08,58.965,-3.296,51.76,91,100,5.01,heavy intensity rain
167,Palana,RU,2022-05-22 21:12:08,59.1167,159.9667,41.11,73,28,5.12,scattered clouds
168,Chunskiy,RU,2022-05-22 21:12:09,56.0815,99.6342,41.45,92,38,3.04,scattered clouds
169,Buraydah,SA,2022-05-22 21:19:23,26.326,43.975,91.85,9,0,16.75,clear sky
170,Katsuura,JP,2022-05-22 21:12:09,35.1333,140.3,66.31,88,51,11.12,broken clouds
171,Makat,KZ,2022-05-22 21:12:10,47.6469,53.3463,62.15,73,100,19.69,overcast clouds
172,Barrow,US,2022-05-22 21:17:31,71.2906,-156.7887,23.02,86,100,9.22,light snow
173,Zalesovo,RU,2022-05-22 21:12:10,53.9939,84.7431,53.31,80,27,16.28,scattered clouds
174,Rocha,UY,2022-05-22 21:19:23,-34.4833,-54.3333,53.92,78,31,5.01,scattered clouds
175,Kazachinskoye,RU,2022-05-22 21:10:23,57.6953,93.2761,45.95,81,17,3.87,few clouds
176,Grindavik,IS,2022-05-22 21:19:24,63.8424,-22.4338,51.75,81,0,16.11,clear sky
177,Suicheng,CN,2022-05-22 21:12:11,33.8963,117.9331,64.06,72,26,6.58,scattered clouds
178,Leningradskiy,RU,2022-05-22 21:19:24,69.3833,178.4167,35.33,96,100,4.32,overcast clouds
179,Ames,US,2022-05-22 21:08:36,42.0347,-93.6199,66.11,48,40,18.01,scattered clouds
180,Uberlandia,BR,2022-05-22 21:12:12,-18.9186,-48.2772,63.45,48,0,5.91,clear sky
181,Kouroussa,GN,2022-05-22 21:12:12,10.65,-9.8833,81.64,59,56,5.84,broken clouds
182,Muros,ES,2022-05-22 21:19:25,42.7762,-9.0603,62.69,89,54,7.02,broken clouds
