City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
383,Barranca,PE,67.21,clear sky,-10.75,-77.7667,El Olivar Hospedaje
386,Gouyave,GD,79.38,overcast clouds,12.1646,-61.7296,Rumboat Retreat
387,Ariquemes,BR,82.04,few clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
388,Panlaitan,PH,80.82,light rain,12.1191,119.8486,SOUTH BEACH
392,Vanimo,PG,77.99,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
396,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
398,Trinidad,BO,77.58,broken clouds,-14.8333,-64.9,Hotel Piesta
400,Sakakah,SA,79.29,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
404,Chake Chake,TZ,76.75,overcast clouds,-5.2459,39.7666,Hotel Archipelago
406,Dingle,PH,76.57,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
407,Mackenzie,CA,65.89,broken clouds,55.2999,-123.1698,Hilton Shop
411,Savannah Bight,HN,82.54,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
412,Vao,NC,75.04,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
413,Jiaxing,CN,65.1,overcast clouds,30.7522,120.75,嘉兴富悦大酒店
414,Mackay,AU,68.68,broken clouds,-21.15,149.2,International Lodge Motel
417,Bani Walid,LY,68.34,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
429,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
430,Sola,VU,81.27,scattered clouds,-13.8833,167.55,Leumerus Bungalows
433,Hobyo,SO,80.11,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
434,Morant Bay,JM,81.75,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
441,Gizo,SB,82.36,few clouds,-8.103,156.8419,Imagination Island
442,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
443,Springville,US,69.1,scattered clouds,40.1652,-111.6107,Best Western Mountain View Inn
444,Grand Gaube,MU,73.8,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
445,Kulhudhuffushi,MV,83.16,scattered clouds,6.6221,73.07,Haajy Guest House 1
446,Gallup,US,76.84,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
449,Quatre Cocos,MU,73.51,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
450,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
452,Aguimes,ES,67.66,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
456,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
460,Manuk Mangkaw,PH,83.3,overcast clouds,4.8,119.85,
461,San Rafael Del Sur,NI,81.97,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
473,Itaituba,BR,82.67,broken clouds,-4.2761,-55.9836,Hotel Campos
474,Sangmelima,CM,67.73,broken clouds,2.9333,11.9833,gamestar hotel
476,Mongoumba,CF,74.88,broken clouds,3.6415,18.5936,
477,Matara,LK,78.21,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
482,Kirakira,SB,82.15,broken clouds,-10.4544,161.9205,SanBiz Lodge
486,Crixas,BR,72.3,scattered clouds,-14.5489,-49.9692,RISO HOTEL
487,Samarai,PG,80.17,few clouds,-10.6167,150.6667,Nuli Sapi
488,Nouadhibou,MR,66.18,clear sky,20.931,-17.0347,El Medina
493,Santa Catalina,PH,78.51,overcast clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
495,Shenjiamen,CN,65.75,moderate rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
499,Les Cayes,HT,81.37,overcast clouds,18.2,-73.75,Villa Orphee
500,Susurluk,TR,68.49,light rain,39.9136,28.1578,Çağan Pansiyon
501,Matay,EG,73.54,clear sky,28.419,30.7792,Nag Aespen
504,Poum,NC,78.98,clear sky,-20.2333,164.0167,
505,Salinopolis,BR,78.17,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
511,Saint-Georges,GD,80.28,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
514,Nishihara,JP,74.48,overcast clouds,26.1842,127.7558,Minshuku Agaihama
517,Maragogi,BR,76.75,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
518,Miranda,CO,82.53,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
523,Barra,BR,80.37,few clouds,-11.0894,-43.1417,Motel Albatroz
526,Morehead,US,65.95,overcast clouds,37.2711,-87.1764,CCI Express Inn
528,North Bend,US,72.25,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
529,Matadi,CD,72.57,broken clouds,-5.8167,13.45,Hotel Vivi Palace
530,Morrope,PE,69.91,few clouds,-6.5417,-80.0111,CASA WAYRA HOTEL
535,Tahta,EG,75.25,clear sky,26.7693,31.5021,فندق الزيات
536,Murgab,TM,65.16,clear sky,37.4966,61.9714,Wepa Nurlyýew
537,Tabou,CI,76.08,light rain,4.423,-7.3528,hotêl doufoulougou
540,Chenove,FR,67.42,clear sky,47.2932,5.0046,Novotel Dijon Sud
542,Sinnamary,GF,78.55,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
543,Padang,ID,76.41,broken clouds,-0.9492,100.3543,Mercure Padang
548,Vaitape,PF,80.8,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
549,Ngemplak,ID,74.37,broken clouds,-7.5497,110.7164,Santana Syariah Guest House
551,Guiglo,CI,70.84,light rain,6.5456,-7.4966,Hotel GBAOLY 2
552,Gigmoto,PH,79.81,overcast clouds,13.7796,124.39,Cj's Travellers Inn
554,Kaohsiung,TW,78.04,broken clouds,22.6163,120.3133,御宿商旅-中山館
555,Rafaela,AR,68.99,scattered clouds,-31.2503,-61.4867,Parra Hotel & Suites
557,The Valley,AI,83.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
558,Omboue,GA,75.2,scattered clouds,-1.5746,9.2618,Hotel Olako
559,Oussouye,SN,78.98,broken clouds,12.485,-16.5469,Auberge du Routard
561,Nantucket,US,68.02,clear sky,41.2835,-70.0995,Jared Coffin House
567,Ponta Delgada,PT,70.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
570,Tual,ID,83.14,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
572,Sanary-Sur-Mer,FR,71.53,broken clouds,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
573,College,US,68.29,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
574,Harper,LR,75.69,light rain,4.375,-7.7169,Screensaver
576,Karwar,IN,79.43,overcast clouds,14.8,74.1333,Netalco Connects
579,Kimbe,PG,77.29,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
582,Koubia,GN,78.44,broken clouds,11.5833,-11.9,Hôtel Mbalou Koubia
585,Altamira,BR,79.25,overcast clouds,-3.2033,-52.2064,Requinte Hotel
588,Chimbote,PE,67.62,broken clouds,-9.0853,-78.5783,Hotel Briliá
592,Havelock,US,82.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
593,Inongo,CD,71.11,light rain,-1.95,18.2667,Hotel Du Lac
595,Fomboni,KM,80.29,overcast clouds,-12.28,43.7425,Auberge les abou
597,Marawi,PH,69.85,overcast clouds,7.9986,124.2928,Derogongan Residence
600,Mabaruma,GY,73.08,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
601,Sao Gabriel Da Cachoeira,BR,78.28,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
602,Balkanabat,TM,72.37,few clouds,39.5108,54.3671,Nebitchi Hotel
604,Presidencia Roque Saenz Pena,AR,66.58,clear sky,-26.7852,-60.4388,Hotel Gualok
607,Akhmim,EG,74.91,clear sky,26.5622,31.745,برج الماسة السكني
608,Tucuman,AR,75.2,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
612,Imbituba,BR,65.86,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
613,Mana,GF,78.04,overcast clouds,5.6592,-53.7767,LE SAMANA
615,Papara,BR,79.2,few clouds,-3.9839,-38.7273,Bela vista Maranguape
616,Moa,CU,82.24,overcast clouds,20.6569,-74.9403,Carmen
618,Sambava,MG,71.98,light rain,-14.2667,50.1667,Melrose
621,Mananjary,MG,67.73,few clouds,-21.2167,48.3333,Vahiny Lodge
623,Kharan,PK,79.45,clear sky,28.5833,65.4167,Dil Aram Bangla
625,Luganville,VU,79.11,few clouds,-15.5333,167.1667,The Espiritu Hotel
628,Kutum,SD,77.9,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
634,Noumea,NC,77.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
637,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
638,Fiumicino,IT,72.01,clear sky,41.7675,12.2291,Al Porticciolo Hotel
640,Tateyama,JP,66.31,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
641,Zlitan,LY,69.31,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
645,Kavaratti,IN,82.96,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
646,Bantva,IN,83.52,scattered clouds,21.4864,70.0689,Rana Bai daga Bai
651,Jieshi,CN,75.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
655,Awjilah,LY,73.17,clear sky,29.1081,21.2869,المنزل
656,Antsohihy,MG,75.02,overcast clouds,-14.8796,47.9875,Hotel de Ville
657,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
660,Dunmore Town,BS,78.89,overcast clouds,25.5,-76.65,Coral Sands Hotel
661,Kenai,US,69.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
662,Chor,PK,83.61,clear sky,25.5167,69.7667,Asad U Bajeer Hotel
664,Kaabong,UG,65.46,light rain,3.4836,34.1492,Rock Motel Ltd
665,Aconibe,GQ,67.44,moderate rain,1.2968,10.9369,
672,Aksu,CN,76.19,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
673,Pindiga,NG,82.04,light rain,9.9833,10.9333,Accommodation Center
676,Lewistown,US,83.61,few clouds,40.5992,-77.5714,Quality Inn & Suites
677,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
678,Los Llanos De Aridane,ES,65.95,overcast clouds,28.6585,-17.9182,Valle Aridane
680,Hong Gai,VN,78.71,moderate rain,20.956,107.0946,Hạ Long DC Hotel
682,Luanda,AO,73.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
687,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
688,Swedru,GH,72.52,overcast clouds,5.5371,-0.6998,Emma-Ike Guesthouse
698,Dovers,VC,80.35,scattered clouds,12.8833,-61.1833,Ocean Breeze
699,Handan,CN,70.14,clear sky,36.6006,114.4678,Jin Jiang Inn - Handan China South Street Inn
700,Merauke,ID,78.58,few clouds,-8.4667,140.3333,
702,El Alto,PE,69.55,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
706,Tadine,NC,76.39,broken clouds,-21.55,167.8833,
710,Aborlan,PH,78.42,overcast clouds,9.4352,118.5492,Kevina Transient House
