City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tasiilaq,GL,2022-04-28 00:05:27,65.6145,-37.6368,32.16,86,79,5.86
68,Medea,DZ,2022-04-28 00:05:28,36.2642,2.7539,50.58,96,100,4.38
69,Banda Aceh,ID,2022-04-28 00:05:28,5.5577,95.3222,80.87,82,68,6.93
70,Cabo San Lucas,MX,2022-04-28 00:05:28,22.8909,-109.9124,91.62,15,0,21.85
71,Hambantota,LK,2022-04-28 00:05:29,6.1241,81.1185,80.78,81,35,4.38
72,Bathsheba,BB,2022-04-28 00:05:29,13.2167,-59.5167,77.31,86,100,11.79
73,Bengkulu,ID,2022-04-28 00:05:29,-3.8004,102.2655,76.53,89,99,2.73
74,Tuktoyaktuk,CA,2022-04-28 00:05:29,69.4541,-133.0374,16.95,83,100,7.02
75,Muros,ES,2022-04-28 00:05:30,42.7762,-9.0603,51.67,93,2,3.65
76,Soltau,DE,2022-04-28 00:05:30,52.9833,9.8333,40.71,86,30,4.5
77,Salvador,SV,2022-04-28 00:05:30,13.8333,-88.9167,77.4,73,53,2.48
78,Shira,RU,2022-04-28 00:05:31,54.4911,89.9531,41.34,61,56,4.81
79,Hami,CN,2022-04-28 00:05:31,42.8,93.45,58.37,24,100,12.08
80,Katsuura,JP,2022-04-28 00:05:31,35.1333,140.3,60.82,54,100,20.62
81,Hilo,US,2022-04-28 00:01:48,19.7297,-155.09,85.28,81,100,5.99
82,Sindor,RU,2022-04-28 00:05:32,62.8629,51.8905,23.68,92,100,5.95
83,Okhotsk,RU,2022-04-28 00:04:25,59.3833,143.3,30.29,60,100,18.84
84,Ampanihy,MG,2022-04-28 00:05:32,-24.7,44.75,62.89,76,13,5.93
85,Hofn,IS,2022-04-28 00:05:32,64.2539,-15.2082,42.28,83,95,4.5
86,Mar Del Plata,AR,2022-04-28 00:05:33,-38.0023,-57.5575,56.88,60,1,8.99
87,Fredonia,US,2022-04-28 00:00:42,42.4401,-79.3317,33.62,72,100,13.8
88,Tigil,RU,2022-04-28 00:05:33,57.8,158.6667,34.66,95,100,6.91
89,Port Moresby,PG,2022-04-28 00:05:33,-9.4431,147.1797,83.41,71,17,0.94
90,Haileybury,CA,2022-04-28 00:05:34,47.449,-79.6373,34.65,49,21,10.58
91,Grand Gaube,MU,2022-04-28 00:03:10,-20.0064,57.6608,73.38,85,9,5.68
92,Coihaique,CL,2022-04-28 00:05:34,-45.5752,-72.0662,27.81,95,32,3.96
93,Saskylakh,RU,2022-04-28 00:05:34,71.9167,114.0833,8.42,97,92,4.81
94,Mount Darwin,ZW,2022-04-28 00:05:35,-16.7725,31.5838,59.41,83,37,3.78
95,Kaputa,ZM,2022-04-28 00:05:35,-8.4689,29.6619,68.07,94,95,5.41
96,Magadan,RU,2022-04-28 00:05:35,59.5667,150.8,33.53,58,99,15.55
97,Chara,RU,2022-04-28 00:05:36,56.9064,118.2631,26.42,52,76,2.01
98,San Francisco,US,2022-04-28 00:05:12,37.7749,-122.4194,70.83,66,20,23.02
99,Roros,NO,2022-04-28 00:05:30,62.5747,11.3842,31.84,86,100,8.05
100,Nemuro,JP,2022-04-28 00:05:36,43.3236,145.575,44.08,53,9,17.05
101,Seydi,TM,2022-04-28 00:05:36,39.4816,62.9137,69.64,33,100,15.75
102,Kiama,AU,2022-04-28 00:02:01,-34.6833,150.8667,71.58,85,53,5.01
103,Belmonte,BR,2022-04-28 00:05:37,-15.8631,-38.8828,76.51,85,0,5.95
104,Myaundzha,RU,2022-04-28 00:05:37,63.0494,147.1858,14.52,74,97,6.04
105,Utete,TZ,2022-04-28 00:05:37,-7.986,38.758,71.42,98,97,0.87
106,Grindavik,IS,2022-04-28 00:05:38,63.8424,-22.4338,41.47,93,75,3.44
